Status,Date/Time,Staff number,Row number,Action,Data item,Before,After,Message
INFO,30/07/2014 14:23,,,,,,,Process: ImportJob
INFO,30/07/2014 14:23,,,,,,,Process actioned by: NI001003N NI001003N
INFO,30/07/2014 14:23,,,,,,,Test run: false
INFO,30/07/2014 14:23,,,,,,,Import Type: EmployeeOption
INFO,30/07/2014 14:23,,,,,,,Import Configuration name: NG_Monthly_HR_Import
INFO,30/07/2014 14:23,,,,,,,Import Filename: NG_Weekly_HR_Import_2014-07-30_14-23-34.csv
INFO,30/07/2014 14:23,,,,,,,20 records processed
INFO,30/07/2014 14:23,,,,,,,20 records with errors
INFO,30/07/2014 14:23,,,,,,,0 successful records processed
ERROR,30/07/2014 14:23,'AB230601A',,,,,,An error occurred which meant that the process could not continue - please contact the administrator. More details will be in the application logs.
ADMINISTRATOR_ERROR_TOKEN,30/07/2014 14:23,'AB230601A',,,,,,UEsDBBQACAgIAPFy/kQAAAAAAAAAAAAAAAAIAAAAZXJyb3JMb2fNl0tz2jAQx+/5FJppDvTiAZtAoKekJdNkpimFZHLodDrCXoISW3IkGXA/fddvHsYYmqa9xGFX+v92Ja0eAymFJIwTTziBC/3PbAKSUw134PkufskgalHYx6HS4A2WNviaCU7aZpt8AaXoI/Qpcdh0ChK4JmLyBLYmC6ZnRM+AKOoBYQ662JSBJHPqBkAWVBHqSqBOSKhSwmaIcFZ6oTJS+uS7LTxjDhMO2pAwdWFpOMKjjBu2kGD4NJTCdY1h8n1n/vhAOKhIC/JQmSJCPhqzLBXjVvB7zl4C+BoHmyfVJ/9TJidR0MqXjD9OJbIXQj4bQnpFIpYxTtSvqK2FDO81cxXK8TlInc/chW1jqzzJRlmfJzqn/U63874OdENZyL3I7R4xsN0yDwNmixNHbrAEO9DQ2PYl0mb7SGlIhB9wAm+pZnNIx2sXyeoeS1J0vjP+Tg9Vt1cM46ivtAxsHUjIFpAEXygWzaZxMUEvzuyoMMWYEnvM6R6HGWCsIgT4BJri+tmk7XbH0FbTMv8FtoyZQnwpopVZEGLzMLVSx7kRjINslPtjebNrVQCY5wupQWYkrAHq+y6zKQZoJOoXhaEgbrmSXHq9V4Thv+EIcB9yduHax+eWLb1s6HaAK5rtnb08ABlrfRRcw1KvFMOqtQy63iLZQaLd8JCUM63r2DXM7WmLDeJmq7QwzpqHQbPRqobuapVsNW+PrDWXtUf2kmp7Vj2wnd6B67cOMjoixrhItcZ9v5pvnXdfn3/Nb2HxgEfNRIjnPfxO6T5/NP9GTH5SKQLuXAonbFbDTet1B38d3jqlzpzZUB3DofvXQSGYe6r6L6KtetmXHrd/EsKbZJxexRLzfuh5FVbZM8CXDlZqEUEuvE0qXKl2Vf3U0t6StM7qSY7gCh3Y7xIoz9SiGNcdSak1qw6tfaLXePzhXdRdK+0SSsus2s2OoOQ1XAKrrNy6rNIsyq/tK5IvAZX6l/Et/mwoN9atseJ5+n5K+8XvOmwwCvh4Bvi2kwFvrP4ubnIrvRQuIdcYR3/hbhY9LIdCuKfRPg8yMcRCmy0StbM2xnDyG1BLBwhGKR9jIwMAAN4PAABQSwECFAAUAAgICADxcv5ERikfYyMDAADeDwAACAAAAAAAAAAAAAAAAAAAAAAAZXJyb3JMb2dQSwUGAAAAAAEAAQA2AAAAWQMAAAAA
ERROR,30/07/2014 14:23,,,,,,,null
