Status,Date/Time,Staff number,Row number,Action,Data item,Before,After,Message
INFO,21/07/2014 15:49,,,,,,,Process: ImportJob
INFO,21/07/2014 15:49,,,,,,,Process actioned by: NI001003N NI001003N
INFO,21/07/2014 15:49,,,,,,,Test run: false
INFO,21/07/2014 15:49,,,,,,,Import Type: PolicyFeedbackOption
INFO,21/07/2014 15:49,,,,,,,Import Configuration name: Default
INFO,21/07/2014 15:49,,,,,,,Import Filename: TR1081.joiners.feedback.D20140721.T154248_2014-07-21_15-49-41.csv
SUCCESS,21/07/2014 15:49,'AB210717A',3,,,,,Policy feedback successfully updated
SUCCESS,21/07/2014 15:49,'AB210718A',4,,,,,Policy feedback successfully updated
SUCCESS,21/07/2014 15:49,'AB210727A',5,,,,,Policy feedback successfully updated
SUCCESS,21/07/2014 15:49,'AB210737A',6,,,,,Policy feedback successfully updated
SUCCESS,21/07/2014 15:49,'AB210747A',7,,,,,Policy feedback successfully updated
SUCCESS,21/07/2014 15:49,'AB210757A',8,,,,,Policy feedback successfully updated
INFO,21/07/2014 15:49,,,,,,,6 records processed
INFO,21/07/2014 15:49,,,,,,,0 records with errors
INFO,21/07/2014 15:49,,,,,,,6 successful records processed
